Id;Designator;Package;Quantity;Designation;Supplier and ref;
1;J29,J15,J18,J16,J2,J1;J_NC_0603_15;6;Jumper;;
2;U6;QFN-48-1EP_7x7mm_Pitch0.5mm;1;ICE5LP4K-SG48;;
3;U4;QFN-64-4.45mm1EP_9x9mm_Pitch0.5mm;1;FT2232H;;
4;C32,C34,C33;C_0603;3;DNP;;
5;C15,C8,C2,C5,C9,C6,C7;C_0603;7;4u7;;
6;C24;C_0603;1;10u;;
7;D1,D4;D_0603;2;GRN;wahrscheinlich vorhanden;
8;D3;D_0603;1;BLU;wahrscheinlich vorhanden;
9;D5;D_0603;1;RED;wahrscheinlich vorhanden;
10;R1;R_0402;1;1M;;
11;R5,R14,R15;R_0402;3;330E;;
12;R6,R12,R26;R_0402;3;2k2;;
13;R8;R_0402;1;12k;;
14;R9,R13,R19,R3,R25;R_0402;5;10k;wahrscheinlich vorhanden;
15;R10;R_0402;1;100E;;
16;L1,L2;L_0402;2;600;;
17;C22,C21,C20,C18,C17,C14,C13,C12,C10,C16,C30,C31,C29,C27,C26,C25,C19,C1,C4,C37;C_0402;20;100n;;
18;C11,C28,C3,C38;C_0402;4;10n;;
19;C23,C36,C39;C_0402;3;1u;;
20;C35;C_0402;1;DNP;;
21;U1;SOT-23-6;1;93C46B-SOT-23-6;;
22;U2;SOT-23-5;1;3.3V;;SGM2028-3.3YN5G/TR
23;U3;SOT-23-5;1;1V2;;SGM2019-1.2YN5G/TR
24;P1;Connector_USB_Micro_B_SMD;1;pkl_USB_OTG;wahrscheinlich vorhanden;
25;U5;SOIC-8_5.3x5.3mm_Pitch1.27mm;1;W25Q;;W25Q128JVSIQ
26;U7;SOT-23-5;1;12MHz;;
27;P4,P3,P2,P5;PAD_SMD_1x2.65;4;UP;;
28;J28;PinHeader_2x01_P2.54mm_Vertical;1;CRESET;;
29;SW1;SW_SPST_3x4x2.5;1;TACT;;
30;P6;PAD_SMD_1x1.5;1;RAM_CS;;
31;J13,J11,J9,J8,J7,J6,J5,J4,J3,J10,J12;J_0603;11;Jumper;;
32;J14,J19;J_NC_0603_30;2;Jumper;;
33;J17,J30;J_NCNO_0903_30;2;Jumper;;
34;D2;D_SOD-523;1;~~800mVf;;
35;R11,R2;R_Array_Convex_4x0402;2;10k;;
36;R20,R4,R21,R22,R24,R23;R_Array_Convex_4x0402;6;33E;;
37;D11;LED_Cree_PLCC6_3.4x3.4mm;1;LED_RGB;;
38;REF**,REF**,REF**,REF**;MountingHole_3-5mm;4;MH3;;
39;J20;Pin_Header_Straight_1x07;1;Flash;;
40;J25;Pin_Header_Straight_2x04;1;RGB Led;;
41;J27,J26;Pin_Header_Straight_2x01;2;5V AUX;;
42;J23;Socket_Strip_Straight_2x06;1;PMOD;;
43;J22,J21;Socket_Strip_Angled_2x06;2;PMOD;;
